title,description,curriculum
A Comprehensive Learning Path to Become a Data Scientist in 2024,"Where do I begin? Data science is such a huge field - where do you even start learning about Data Science?These are career-defining questions often asked by data science aspirants. There are a million resources out there to refer but the learning journey can be quite exhausting if you don’t know where to start.Don’t worry, we are here to help you take your first steps into the world of data science! Here’s the learning path for people who want to become a data scientist in 2023. We have arranged and compiled all the best resources in a structured manner so that you have a unified resource to become a successful data scientist.Moreover, we have added the most in-demand skills for the year 2023 for data scientists including storytelling, model deployment, and much more along with exercises and assignments.","Overview of the Learning Path 2024: Overview of Learning Path, Month-on-Month Plan, Your Personalized Learning Path for Data Science, AI&ML Blackbelt Plus Program (Sponsored);January 2024: Data Science Toolkit: Plan for January 2024, Understanding Machine Learning and its impact, Job of Data Scientist, Exercise, Overview of the Course, A brief introduction to Python, Introduction to Python Test, Installing Python, Theory of Operators, Exercise, Understanding Operators in Python, Operators Test, Understanding variables and data types, Variable Test, Variables and Data Types in Python, Understanding Conditional Statements, Exercise, Implementing Conditional Statements in Python, Conditional Statements test, Understanding Looping Constructs, Exercise, Implementing Looping Constructs in Python, Looping Constructs test, Understanding Functions, Implementing Functions in Python, Functions test, A brief introduction to data structure, Data Structure test, Understanding the concept of Lists, Lists test, Implementing Lists in Python, Exercise, Understanding the concept of Dictionaries, Exercise, Implementing Dictionaries in Python, Dictionaries test, Understanding the concept of Standard Libraries, Libraries test, Reading a CSV File in Python - Introduction to Pandas, Reading a CSV file in Python: Implementation, Reading a csv file in Python test, Understanding dataframes and basic operations, DataFrames and basic operations test, Reading dataframes and conduct basic operations in Python, Reading dataframes and conduct basic operations in Python Test, Indexing a Dataframe, Indexing DataFrames test, Exercise, Sorting Dataframes, Merging Dataframes, Quiz: Sorting and Merging dataframes, Apply function, Aggregating data, Quiz: Apply function and Aggregating data, Basics of Matplotlib, Data Visualization using Matplotlib, Quiz: Matplotlib, Basics of Seaborn, Data Visualization using Seaborn, Quiz: Seaborn, Regular Expressions, Understanding Regular Expressions, Quiz: Regular Expressions, Regular Expressions in  Python, Quiz: Regular Expressions in Python, Cheatsheet for Python, Instructions, Quiz, Python Coding Challenge;February 2024: Data Visualization: Exercise - Definition of Data Visualization, Why Tableau is a Powerful Tool for Professionals, Compare Tableau Against Power BI and Qlik, The Tableau Range of Products, The 5 Tableau Products you should Know, Installing Tableau Desktop on your System, Installing Tableau Public on your System, Difference Between Tableau Server and Tableau Online, Navigating the Tableau Interface (Part 1), Navigating the Tableau Interface (Part 2), Connecting to Data Sources in Tableau, Understanding the Problem Statement, Download the Superstore Dataset, Loading the Dataset and Getting Familiar with the Variables, Build your First Visualization in Tableau!, Hands-On with Labels and Formatting, Playing Around with Colors, Using Filters to Build a Pivot Structure in Tableau, Exporting your Tableau Worksheet, The Different Chart Types in Tableau, Line Charts - Working with Time Series Data, Building Line Charts in Tableau, Exercise - Sales of Each Category Month-by-Month, Generating Map Visualizations for Geospatial Analysis, Map Visualizations in Tableau, Exercise - Sales by City Analysis, Bar Charts, Histograms, Scatter Plots, Bubble Charts, Pie Charts, Dual Axis Charts in Tableau, Date Dual Axis Charts in Tableau, What are Calculated Fields?, Feature Engineering in Tableau - Average Shipping Time, Exercise - Number of Orders per State, Calculating the Average Order Value, Average Order Value for Product Sub-Categories, What are Parameters in Tableau?, Using Parameters to find Top N Customers, Using Parameters to Analyze Superstore's Variable Values, Joins and their Different Types in Tableau, Performing Data Joining in Tableau, What is Blending? How is it Different from Joins?, Blending Data in Tableau, Download the Coffee Chain Dataset, Introduction to Dashboards and their Use Cases, Reading Material - Dashboards in Tableau, Designing your First Dashboard in Tableau, Using Parameters to Create Dynamic Dashboards, How to Upload your Work to the Tableau Public Gallery, Designing the Blueprint for a Multi-Dashboard View to Analyze Sales, Building Multiple Interlinked Dashboards in Tableau for our Business, The Art of Storytelling, 3-Step Storytelling Framework, Sketching the Story Blueprint, Profits by Region Analysis using Storyboard in Tableau, Capstone Project: Sales and Profit by Segment using Storyboards in Tableau, Getting started with SQL, Types of Databases, How data is Stored in Relational Databases, How data is stored in NoSQL databases, Exercise 1, Introduction, Architecture: Client and Server, MySQL Distributions, Local Installation on Mac, Local Installation on Linux, Local Installation on Windows, Licensing, Accessing a remote MySQL server, Graphical user interfaces, Exercise 2, SQL - Installation Guide, Introduction, What exactly is SQL?, History of SQL, Connecting to MySQL, Types of Commands - DDL (Creation/ Deletion/ Updating of Schema, Types of Commands - DML (Manipulating data in tables), Types of Commands - DCL (Managing Access control), Exploring databases, Creating tables, Inserting data in tables, SELECT Statement - Introduction, Datatypes in MySQL, NULL vs NOT NULL, Exercise 3, Introduction, Update command – Concept, Update command – Example, Delete command – Concept, Delete command – Example, Describe command – Concept, Describe command – Example, Alter command – Concept and Example, Exercise 4, Introduction, Importing data from CSV to MySQL, Exporting data from MySQL to CSV, Backing up databases, Restoring databases, Exercise 5, Importing and Exporting Datasets - Troubleshooting Guide, Introduction, Counting Rows and Items, Aggregation Functions – SUM, AVG, STDDEV, Extreme Values Identification – MIN, MAX, Slicing data, Limiting data, Sorting data, Filtering Patterns, Groupings, Rolling up data and Filtering in Groups, Exercise 6, Introduction, Data Eyeballing, Data Dictionary, Questions we need answers of, Analyzing data and creating table structure, Loading data to our MySQL table, Data Analysis – Simple Queries, Data Analysis – Advanced Queries, FIFA19 Players dataset (cleaned) for this Project, Introduction, The need for joins, Different type of joins, The Left Join - Concept, The Left Join – Practical Example, The Inner Join, The Cross Join, The Right Join, The Self Join, Exercise, Introduction, Introduction to Indexing, How indexing works (basics), Relationships, Types of Relationships, Table Constraints – PRIMARY KEY, FOREIGN KEY, UNIQUENESS and AUTO INCREMENT, Exercise, String functions - CONCAT, String functions – Case Conversion, String functions – Trimming Strings, String functions – Extracting Substrings, Date/ Time functions – Current date and time, Date/ Time functions – Extracting date and time from field, Date/ Time functions – Formatting date and time as Strings, Numeric functions, SQL CheatSheet, Exercise, Introduction, Setting up a virtual environment, Installing the required packages, Connecting to MySQL, Connecting to database table and pulling data, Querying the database- INSERT, Querying the database- DELETE, Querying the database- SEARCH, Querying the database- INDEXING, Notes and Resources, Subscribe to Data Science Newsletter and Podcast;March 2024: Data Exploration: Overview of Statistics, Important applications of Statistics, What is Descriptive Statistics?, Introduction to Design experiments, Introduction to Design experiments-Video, Exercise, Visualizing Data, Visualizing Data, Central tendency, Exercise, Variability, Unimodal Distribution of Data, Bimodal Distribution of Data, Normal distribution – Part 1, Normal distribution – Part 2, Z-Score, Introduction to Probability- An Overview, Principal Of Counting, Exercise, Permutation, Exercise, Combination, Exercise, Conditional Probability – Part 1, Conditional Probability – Part 2, Exercise, Binomial Distribution, Random variable, Expectation and variance, Exercise, Cheatsheet for Probability, Statistics: Inferential-Hypothesis Testing, T-test, One Way ANOVA, Chi-square, Cheatsheet on Statistics, Exploratory Data Analysis (EDA)- Data Exploration, Cheatsheet on EDA, Project-1 | Loan Prediction, Project-2 | Big Mart Sales, Linear Algebra, Free Course;April 2024: Basics of Machine Learning and art of storytelling: Overview of Machine Learning, Understanding Data Science Pipeline, Get Familiarised with Command Line (Linux)- Guide, Linear Regression, Linear Regression-Video, Exercise, Logistic Regression- Part 1, Logistic Regression – Part 2, Exercise, Decision Tree Algorithm, Exercise, Naive Bayes, Support Vector Machine, Regression Project - Big Mart Sales, Classification Project - Loan Prediction, Introduction to Structured Thinking, Commonly Asked Puzzles in Interviews, How to solve Guesstimates?, Excercise: Strategic Thinking, Structured Thinking and Communication Course;May 2024: Advanced Machine Learning: Ensemble Learning Basics, Ensemble Learning Basics-Video, Bagging, Boosting, Random Forest - Simplified, Random Forest - Detailed with implementation, Exercise, Boosting - Detailed with implementation, XGBoost, LightGBM, CatBoost, Exercise, Advanced Ensemble Technique - Blending, Advanced Ensemble Learning - Stacking, Cheatsheet for Machine Learning, Image data, Text data, Audio data, Audio data-Video, Projects, Participating in Competitions, Introduction to validation, Different Types of Validation Techniques, K-fold Cross Validation - Implementation, Summary - Validation Techniques, Exercise, Different methods for finding best hyperparameters of an algorithm, Hyperparameter tuning for Random Forest, Hyperparameter tuning for GBM, Hyperparameter tuning for XGBoost, Hyperparameter tuning for LightGBM, Bayesian Hyperparameter Optimization, Feature Engineering, Profile Building, Building your Resume, Up Level your Data Science Resume Course, Ace Data Science Interview Course;June 2024: Other Machine Learning Concepts: Basics of Matrix Algebra, Matrix Calculus, Dimensionality Reduction - Overview, Principal Component Analysis (PCA), Singular Value Decomposition (SVD), Singular Value Decomposition (SVD)-Text, Unsupervised Learning-K Means and Hierarchical Clustering, Clustering - Project, Learn Github, Introduction to Recommendation Systems, Introduction to Recommendation Systems - Video, Project: Recommendation System, Implementation in Python, Introduction to Time Series Forecasting, Handling a Non-Stationary Time Series in Python, Time Series Modeling using ARIMA, Time Series Modeling using Prophet Library, Time Series Project, Project - Black Friday;July 2024: Introduction to Deep Learning and Computer Vision: Setting up the System for Deep Learning, Introduction to Deep Learning, Build your first Neural Network in Numpy, Why are GPUs necessary for Deep Learning?, The Evolution and Core Concepts of Deep Learning & Neural Networks, An Introduction to Implementing Neural Networks using TensorFlow, Introduction to Keras, Optimizing Neural Networks using Keras (with Image recognition case study), Understanding Convolutional Neural Networks (CNNs), Build Image Classification Model using Keras, Exercise, Transfer Learning for Computer Vision, Computer Vision Project 1 : Identify the Apparels, Computer Vision Project 2: Scene Classification, Computer Vision using Deep Learning Course, Computer Vision Course (Sponsored), Cheatsheet for Keras, Write for Analytics Vidhya's Medium Publication;August 2024: Basics of Natural Language Processing: Recurrent Neural Network, Long short Term Memory Networks (LSTM), Gated Recurrent Unit (GRU), Useful resources-GRU, Text Preprocessing, Text Cleaning, Text Classification, Natural Language Processing (NLP) Using Python Course;September 2024: Model Deployment: How to Deploy Machine Learning Models using Flask, Tutorial to deploy Machine Learning models in Production as APIs, Deploying machine learning models using Streamlit – An introductory guide to Model Deployment, An Ode to Model Deployment using Streamlit – Open Sourcing “Typing Tutor for Programmers”;October 2024: Practice and Projects: Building a Portfolio with Projects"
Exploring Stability.AI - Free Course,"This course will give you a practical understanding of Stability.AI tools. By the end of the course, you will be able to deploy and customize SD WebUI, and use the Automatic1111 WebUI on RunPod GPU environments. You'll learn to install, set up, generate, and fine-tune SD WebUI settings, equipping you with the skills to harness Stability.AI's full potential for your projects.This course will give you a practical understanding of Stability.AI tools. By the end of the course, you will be able to deploy and customize SD WebUI, and use the Automatic1111 WebUI on RunPod GPU environments. You'll learn to install, set up, generate, and fine-tune SD WebUI settings, equipping you with the skills to harness Stability.AI's full potential for your projects.Who Should Enroll:Professionals:Individuals aiming to enhance their skill set and apply Stability.AI tools/Stable Diffusion in various fields.Professionals:Individuals aiming to enhance their skill set and apply Stability.AI tools/Stable Diffusion in various fields.Aspiring Students:Those beginning their journey to mastering Generative AI tool deployment and customization, looking to make an impact in the evolving world of Generative AIAspiring Students:Those beginning their journey to mastering Generative AI tool deployment and customization, looking to make an impact in the evolving world of Generative AI","Mastering stability.ai and its tools: Introduction to Stability, How to use Stability.AI tools, Review of Deployment Options for SD WebUI, Automatic1111 WebUI on RunPod GPU environment, SD WebUI Hands-On - Installation and Setup, SD WebUI Hands-On - Generation and Settings, Quiz"
Building Smarter LLMs with Mamba and State Space Model,"Unlock the Power of State Space Models (SSM) like Mamba with our comprehensive course designed for AI professionals, data scientists, and NLP enthusiasts. Master the art of integrating SSM with deep learning, unravel the complexities of models like Mamba, and elevate your understanding of Generative AI's newest and most innovative models. This course is designed to equip you with the skills needed to understand these cutting-edge AI models and how they work, making you proficient in the latest AI techniques and architectures.Unlock the Power of State Space Models (SSM) like Mamba with our comprehensive course designed for AI professionals, data scientists, and NLP enthusiasts. Master the art of integrating SSM with deep learning, unravel the complexities of models like Mamba, and elevate your understanding of Generative AI's newest and most innovative models. This course is designed to equip you with the skills needed to understand these cutting-edge AI models and how they work, making you proficient in the latest AI techniques and architectures.","Course Overview: Course Overview;An Alternative to Transformers: Are RNNs a Solution, The Problem with Transformers;Understanding State Space Models: What is a State Space Model?, The Discrete Representation, The Recurrent Representation, The Convolution Representation, The Three Representations, The Importance of the A Matrix;Mamba - A Selective State Space Model: What Problem does it attempt to Solve?, Selectively Retaining Information, Speeding Up Computations, Exploring the Mamba Block, Jamba - Mixing Mamba with Transformers"
Getting Started with Neural Networks,"What is a neural network? How does it work? What does a neural network do? Learn neural networks for free in this course and get your neural network questions answered, including applications of neural networks in deep learning.Do you want to acquire a super power? How about learning neural networks? Neural networks are at the heart of the deep learning revolution that’s happening around us right now.Neural networks are the present and the future. The different neural network architectures like convolutional neural networks (CNN), recurrent neural networks (RNN), and others have altered the deep learning landscape.From classifying images and translating languages to building a self-driving car, neural networks are powering the world around us. Thanks to the idea of neural networks like CNN and RNN, deep learning has penetrated into multiple and diverse industries, and it continues to break new ground on an almost weekly basis!Where should you begin learning? Neural networks can appear to be complex to master. In a lot of ways, they are. We have seen quite a number of aspiring data scientists and deep learning enthusiasts give up before they even touched a neural network!But they’ve gone about it the wrong way. There are a lot of myths about neural networks that force people to quit:Mastering all of these would take you years!So, how else can you learn neural networks?That is EXACTLY what this free course by Analytics Vidhya will teach you.","Introduction to Deep Learning: What is Deep Learning?, Difference b/w Deep Learning and Machine Learning, Why Deep Learning is so popular?, AI&ML Blackbelt Plus Program (Sponsored);Getting ready for the course: Hardware for Computations in Deep Learning, Setting up your system, Introduction to Google Colab, Understanding Google Colab Interface, Pre-requisites for Deep Learning;Introduction to Neural Network: Perceptron, Quiz - Perceptron, Weights in Perceptron, Quiz - Weights in Perceptron, Multi Layer Perceptron, Quiz - Multi Layer Perceptron, Forward and Backward Prop Intuition, Quiz - Forward and Backward Prop Intuition, Gradient Descent Algorithm, Quiz - Gradient Descent Algorithm;Activation Functions: Why do we need activation functions?, Quiz - Why do need activation functions, Linear Activation Function, Quiz - Linear Activation Function, Sigmoid and tanh, Quiz - Sigmoid and tanh, Softmax, Quiz - Softmax;Loss Function: Introduction to loss function, Quiz - Introduction to Loss Function, Binary and Categorical Cross entropy / log loss, Quiz - Binary and Categorical cross entropy / log loss;NN on structured Data: Understanding Problem Statement: Loan Prediction, Data Preprocessing: Loan Prediction, Quiz - Data Preprocessing: Loan Prediction, Steps to solve Loan Prediction Challenge, Loading loan prediction dataset, Defining the Model Architecture for loan prediction problem, Training and Evaluating model on Loan Prediction Challenge, Quiz - Training and Evaluating model on Loan Prediction Challenge;Assignment: Big Mart Sales Prediction: Assignment: Big Mart Sales Prediction;Real World Use cases of Deep Learning: Object Detection, segmentation, image generation, Quiz - Object Detection, Segmentation, image generation, Sequential Modeling, Quiz - Sequential Modeling;Where to go from here?: Where to go from here?"
Nano Course: Building Large Language Models for Code,"In this Free Nano GenAI Course onBuilding Large Language Models for Code, you will-Learn how to train LLMs for Code from Scratch covering Training Data Curation, Data Preparation, Model Architecture, Training, and Evaluation Frameworks.Explore each step in-depth, delving into the algorithms and techniques used to create StarCoder, a 15B code generation model trained on 80+ programming languages.Understand and learn the best practices to train your own StarCoder on the data","Building Large Language Models for Code: Introduction, Agenda, BigCode Community, Training LLMs for Code from Scratch: Training Data Curation, Training Data Formatting and Preprocessing, Model Architecture, BigCode Ecosystem, Training Frameworks, Model Evaluation, Tools and Descendants of StarCoder"
Generative AI - A Way of Life - Free Course,"This course is a transformative journey tailored for beginners and delves into AI-powered text and image generation using leading tools like ChatGPT, Microsoft Copilot, and DALL·E3. Learn practical applications across industries, ethical considerations, and best practices. Whether you're a content creator, business innovator, or AI enthusiast, gain the expertise to harness Generative AI's full potential and drive innovation in your field.This course is perfect for beginners with no technical background, professionals looking to enhance their AI skills, students eager to explore AI, and content creators seeking to leverage AI tools. If you're curious about AI's potential and want to stay ahead in your field, this course is for you.Getting Started with Large Language ModelsBuilding LLM Applications Using Prompt EngineeringBuilding your First RAG System using LlamaIndexWhat is Generative AI?Generative AI refers to algorithms that can create new data, such as images, text, and music, by learning patterns from existing data.Do I need to know programming to learn Generative AI?Having a basic understanding of Python programming is not compulsory, but if you are interested in learning Python there's also a free course available on our platform.What are the real-world applications of Generative AI?From AI art to content creation tools and personalized marketing campaigns, Generative AI is revolutionizing industries worldwide.How does Generative AI differ from traditional AI?Traditional AI focuses on classification and prediction, while Generative AI creates new content or data based on learned patterns.Is this course suitable for beginners?Absolutely! This course is designed for all levels, including those new to machine learning and deep learning.","Introduction to Generative AI: Fundamentals of Generative AI, What is Generative AI?, How does Generative AI work?, Exploring the Potential of Generative AI, GenAI Pinnacle Program, Hands On: Let’s get generating!;Text Generation Using Generative AI: An Overview of Text Generation, What is ChatGPT?, Working with ChatGPT, Working with ChatGPT Plus, Build a Custom GPT, Working with Microsoft Copilot, Working with Google Gemini, Gen AI Pinnacle Ad, Learning the Art of Prompting, Creating a Chatbot, Ethics and Best Practices;Image Generation Using Generative AI: Introduction to Image Generation, Exploring the Potential of Image Generation, Working with free image generation tools, Working with Clipdrop, Working with Bing Image Creator, Working with Firefly, Working with Paid Image Generative Tools, Working with paid image generative tools DreamStudio, Working with DALLE-2, Working with Midjourney, Gen AI Pinnacle Ad, Prompting your Way to Art, Accomplishing Tasks with Image Generation, E for Ethics and Efficiency"
Naive Bayes from Scratch,"Naive Bayes ranks in the top echelons of the machine learning algorithms pantheon. It is a popular and widely used machine learning algorithm and is often the go-to technique when dealing with classification problems.The beauty of Naive Bayes lies in it’s incredible speed. You’ll soon see how fast the Naive Bayes algorithm works as compared to other classification algorithms. It works on the Bayes theorem of probability to predict the class of unknown datasets. You’ll learn all about this inside the course!So whether you’re trying to solve a classic HR analytics problem like predicting who gets promoted, or you’re aiming to predict loan default - the Naive Bayes algorithm will get you on your way.Who is the Naive Bayes from Scratch Course for?This course is for anyone who:The Naive Bayes algorithm is a classic that’s much loved by data scientists all around the world. It's easy to learn and will serve you well in your data science journey.What do you need to get started with the Naive Bayes course?What is Naive Bayes?In machine learning, the Naive Bayes is a classification algorithm based on the concept of Bayes Theorem. Bayes theorem is one of the fundamental theorems in probability. We will be learning all these concepts in the course quite thoroughlyHow are Naive Bayes and probability related?The Bayes Theorem forms the backbone of the Naive Bayes algorithm. We use conditional probability to classify the data - thus, the Naive Bayes algorithm basically gives us the probability of a record being in a particular class, given the values of the features. This is nothing but conditional probability!What are the assumptions we need to keep in mind for using the Naive Bayes algorithm?The most important assumption that Naive Bayes makes is that all the features are independent of each other. You might also need to convert the continuous variables into discrete variables.What are the different types of Naive Bayes algorithms?There are 3 main types of Naive Bayes algorithms:We will be covering all these techniques comprehensively and with Python code in this course.Can Naive Bayes be used only for binary classification?Not at all - in fact, the Naive Bayes classifier is one of the most popular algorithms for multiclass classification. Depending on the data we are dealing with, we can use any of the 3 types of the Naive Bayes algorithmsHow does Naive Bayes hold up against other classification algorithms?Though classification algorithms like Logistic Regression, random forest, etc are quite popular, Naive Bayes holds its own among them. It is faster than Random forest, since it can adapt to changing data pretty quickly. If the assumptions of Naive Bayes hold true, then it is much faster than logistic regression as well.What are the main advantages of Naive Bayes?The main advantages are:What are the main advantages of Naive Bayes?Like all other algorithms, Naive Bayes has its own set of cons as well:What are the applications of the Naive Bayes algorithm?Though the algorithm is relatively simple to understand, you cannot underestimate the power of the Naive Bayes classifier! It is fast, intuitive, and is used for text classification tasks. Since it can be used for multiclass classification as well, it is considered a very versatile and flexible classifier. A majority of research papers on text classification start off by using the Naive Bayes classifier as the baseline model.","Probability: Key Terms and Definitions, Introduction to Probability, Quiz: Introduction to probability, Calculating Probabilities of events, Quiz: Calculating Probabilities of events, AI&ML Blackbelt Plus Program (Sponsored);The Naive Bayes Algorithm: Introduction to Naive Bayes, Quiz: Introduction to Naive Bayes, Conditional Probability and Bayes Theorem, Working of Naive Bayes, Quiz: Conditional Probability and Naive Bayes, Math Behind Naive Bayes, Types of Naive Bayes, Quiz: Types of Naive Bayes, Implementing Naive Bayes, Pros and Cons of Naive Bayes, Applications of Naive Bayes, Improve your Naive Bayes Model;What Next?: More Resources and Next Steps"
AI Ethics by Fractal,"AI has a huge influence on our lives. From typing on our smartphones, to personalized recommendations on our favourite shopping websites, intelligent machines are everywhere. Our interactions with technology have become more personalized, but with humans ultimately behind these creations, the question is: where does the responsibility lie? Why and how should we begin the AI ethics conversation at Fractal?Learning plan:Learning plan:The video course is followed byMCQtest to gauge the depth of your understanding and help you retain your learning.Learners can take the e-learning and complete theMCQTest activity post viewing the video.","AI Ethics: Fractal's Ethical AI Principles, Framework: Behaviors and toolkits overview, Next Steps & Further Learning, Test Your Self"
Creating Problem-Solving Agents using GenAI for Action Composition,"This introductory course provides a concise overview of Agentic AI systems, covering their evolution, current state, and practical applications. You will explore key topics including the history of Agentic AI systems, the role of agents today, multi-agent systems, and practical solutions for implementing them. Perfect for those seeking a foundational understanding of intelligent Agentic AI systems in action.","Creating Problem-Solving Agents using GenAI for Action Composition: Introduction, Overview- Count the Number of Agents, A brief history of Agentic Systems, Agents Today, Multi-Agent Systems Today, Practical Solutions"
A Comprehensive Learning Path to Become a Data Engineer in 2022,"Where do I begin? Data Engineering is such a huge field - where do you even start learning about Data Engineering?These are career-defining questions often asked by data engineering aspirants. There are a million resources out there to refer but the learning journey can be quite exhausting if you don’t know where to start.Don’t worry, we are here to help you take your first steps into the world of data engineering! Here’s the learning path for people who want to become a data engineer in 2022. We have arranged and compiled all the best resources in a structured manner so that you have a unified resource to become a successful data engineer.Moreover, we have added the most in-demand skills for the year 2022 for data engineers including storytelling, model deployment, and much more along with exercises and assignments.This is a beginner-friendly course and has no prerequisites.","Overview of Learning Path 2022: Overview of Learning Path, Month-on-Month Plan, AI&ML Blackbelt Plus Program (Sponsored);January 2022: Learn Programming: Overview of the Course, A brief introduction to Python, Introduction to Python Test, Installing Python, Become a BlackBelt in Data Science, Theory of Operators, Exercise, Understanding Operators in Python, Operators Test, Understanding variables and data types, Variable Test, Variables and Data Types in Python, Exercise, Understanding Conditional Statements, Exercise, Implementing Conditional Statements in Python, Conditional Statements test, Understanding Looping Constructs, Exercise, Implementing Looping Constructs in Python, Looping Constructs test, Understanding Functions, Implementing Functions in Python, Functions test, A brief introduction to data structure, Data Structure test, Understanding the concept of Lists, Lists test, Implementing Lists in Python, Exercise, Understanding the concept of Dictionaries, Exercise, Implementing Dictionaries in Python, Dictionaries test, Understanding the concept of Standard Libraries, Libraries test, Reading a CSV File in Python - Introduction to Pandas, Reading a CSV file in Python: Implementation, Reading a csv file in Python test, Understanding dataframes and basic operations, DataFrames and basic operations test, Reading dataframes and conduct basic operations in Python, Reading dataframes and conduct basic operations in Python Test, Indexing a Dataframe, Indexing DataFrames test, Exercise, Sorting Dataframes, Merging Dataframes, Quiz: Sorting and Merging dataframes, Apply function, Aggregating data, Quiz: Apply function and Aggregating data, Basics of Matplotlib, Data Visualization using Matplotlib, Quiz: Matplotlib, Basics of Seaborn, Data Visualization using Seaborn, Quiz: Seaborn, Regular Expressions, Understanding Regular Expressions, Quiz: Regular Expressions, Regular Expressions in  Python, Quiz: Regular Expressions in Python, Cheatsheet for Python, Instructions, Quiz, Python Coding Challenge, Poll, Where to go from here?;February 2022: Learn Relational Databases: Plan for February 2022, 1.5 Types of Databases, 1.6	How data is Stored in Relational Databases, 1.7	How data is stored in NoSQL databases, Exercise 1, Course Handouts, 2.1	Introduction, 2.2	Architecture: Client and Server, 2.3	MySQL Distributions, 2.4	Local Installation on Mac, 2.5	Local Installation on Linux, 2.6	Local Installation on Windows, 2.7	Licensing, 2.8	Accessing a remote MySQL server, 2.9	Graphical user interfaces, Exercise 2, SQL - Installation Guide, 3.1	Introduction, 3.2	What exactly is SQL?, 3.3	History of SQL, 3.4	Connecting to MySQL, 3.5	Types of Commands - DDL (Creation/ Deletion/ Updating of Schema, 3.6	Types of Commands - DML (Manipulating data in tables), 3.7	Types of Commands - DCL (Managing Access control), 3.8	Exploring databases, 3.9	Creating tables, 3.10 Inserting data in tables, 3.11 SELECT Statement - Introduction, 3.12 Datatypes in MySQL, 3.13 NULL vs NOT NULL, Exercise 3, 4.1	Introduction, 4.2	Update command – Concept, 4.3	Update command – Example, 4.4	Delete command – Concept, 4.5	Delete command – Example, 4.6	Describe command – Concept, 4.7	Describe command – Example, 4.8	Alter command – Concept and Example, Copy of Exercise 4, 5.1	Introduction, 5.2	Importing data from CSV to MySQL, 5.3	Exporting data from MySQL to CSV, 5.4	Backing up databases, 5.5	Restoring databases, Exercise 5, Importing and Exporting Datasets - Troubleshooting Guide, 6.1	Introduction, 6.2	Counting Rows and Items, 6.3	Aggregation Functions – SUM, AVG, STDDEV, 6.4	Extreme Values Identification – MIN, MAX, 6.5	Slicing data, 6.6	Limiting data, 6.7	Sorting data, 6.8	Filtering Patterns, 6.9	Groupings, Rolling up data and Filtering in Groups, Exercise 6, 7.1	Introduction, 7.2	Data Eyeballing, 7.3	Data Dictionary, 7.4	Questions we need answers of, 7.5	Analyzing data and creating table structure, 7.6	 Loading data to our MySQL table, 7.7	Data Analysis – Simple Queries, 7.8	Data Analysis – Advanced Queries, FIFA19 Players dataset (cleaned) for this Project, 8.1 Introduction, 8.2.	The need for joins, 8.3.	Different type of joins, 8.4.	The Left Join - Concept, 8.5.	The Left Join – Practical Example, 8.6.	The Inner Join, 8.7.	The Cross Join, 8.8.	The Right Join, 8.9.	The Self Join, Assignment: Share your learning and build your profile, Exercise, 9.1.	 Introduction, 9.2.	 Introduction to Indexing, 9.3.	How indexing works (basics), 9.4.	Relationships, 9.5.	Types of Relationships, 9.6.	Table Constraints – PRIMARY KEY, FOREIGN KEY, UNIQUENESS and AUTO INCREMENT, Exercise, 10.1 String functions - CONCAT, 10.2 String functions – Case Conversion, 10.3 String functions – Trimming Strings, 10.4 String functions – Extracting Substrings, 10.5 Date/ Time functions – Current date and time, 10.6 Date/ Time functions – Extracting date and time from field, 10.7 Date/ Time functions – Formatting date and time as Strings, 10.8 Numeric functions, SQL CheatSheet, Exercise, 11.1 Introduction, 11.2 Setting up a virtual environment, 11.3 Installing the required packages, 11.4 Connecting to MySQL, 11.5 Connecting to database table and pulling data, 11.6 Querying the database- INSERT, 11.7 Querying the database- DELETE, 11.8 Querying the database- SEARCH, 11.9 Querying the database- INDEXING, 11.10 Notes and Resources, Exercise;March 2022: Fundamentals of Linux and Cloud Computing: Basic Linux Commands, Introduction to Cloud Computing, Cloud Deployment Models, Service Models, Resources: Learn about AWS;April 2022 : NoSQL Databases: Creating Databases and Collections, Inserting Documents, Reading Documents, The _id Field, Importing and Exporting Data, Backup and Restore MongoDB Databases, Updating Documents, Deleting Documents, Collections and Databases, CRUD Operations in MongoDB Atlas, Importing, Exporting and Working with MongoDB Atlas;May 2022:  Hadoop Ecosystem: What is Big Data?, Challenges with Big Data, Applications of Big Data, Distributed Systems;June 2022: Data Warehousing: What is Hive, Features of Hive, Working of Hive"
